,$ref,cpg,cpgId
0,Cpgs,5332f5ebe4b03c9a25efd0a8,1
1,Cpgs,5332f5f2e4b03c9a25efd0aa,2
2,Cpgs,5332f5f3e4b03c9a25efd0ac,3
3,Cogs,5332f5f3e4b03c9a25efd0ae,4
4,Cpgs,5332f5f3e4b03c9a25efd0ae,5
5,Cogs,5332f5f6e4b03c9a25efd0b4,6
6,Cogs,5332f5fbe4b03c9a25efd0ba,7
7,Cpgs,5332f5fbe4b03c9a25efd0ba,8
8,Cpgs,5332f6ede4b03c9a25efd0e6,9
9,Cogs,5332f709e4b03c9a25efd0f1,10
10,Cpgs,5332f709e4b03c9a25efd0f1,11
11,Cpgs,5332f712e4b03c9a25efd0f9,12
12,Cpgs,5332f734e4b03c9a25efd104,13
13,Cogs,5332f7a7e4b03c9a25efd134,14
14,Cpgs,5332f7a7e4b03c9a25efd134,15
15,Cpgs,5332f7ffe4b03c9a25efd16b,16
16,Cogs,5332fa12e4b03c9a25efd1e7,17
17,Cpgs,5332fa12e4b03c9a25efd1e7,18
18,Cpgs,5332fa58e4b03c9a25efd215,19
19,Cpgs,53501d2ab9237fd7718f9e18,20
20,Cpgs,53501d2ab9237fd7718f9e1a,21
21,Cpgs,537b7ec2892471241348d709,22
22,Cpgs,53e10d6368abd3c7065097cc,23
23,Cogs,53e10d6368abd3c7065097cc,24
24,Cpgs,540f215de4b09fb9af4b49f1,25
25,Cpgs,5459429be4b0bfcb1e864082,26
26,Cogs,5459429be4b0bfcb1e864082,27
27,Cogs,550b2565e4b001d5e9e4146f,28
28,Cogs,559c2234e4b06aca36af13c6,29
29,Cpgs,55a41a91e4b0d0a65b3692ec,30
30,Cpgs,55a41b4be4b0d0a65b3692ee,31
31,Cpgs,55a58719e4b0d0a65b3693cc,32
32,Cogs,55b62995e4b0d8e685c14213,33
33,Cpgs,55b62995e4b0d8e685c14213,34
34,Cogs,56462469e4b0c05761111936,35
35,Cpgs,57ace90fe4b057c992a316ab,36
36,Cpgs,581ce8d5e4b058c71f74c442,37
37,Cogs,59b96571e4b0bf7c7980588b,38
38,Cogs,59ba6f1ce4b092b29c167346,39
39,Cogs,5a734034e4b0d58f376be874,40
40,Cogs,5c45f8b087ff3552f950f026,41
41,Cogs,5c4f20b01b4181298aacffc1,42
42,Cogs,5c6c2ee995144c6db8fe1976,43
43,Cogs,5c6d516795144c607914426e,44
44,Cogs,5c7470c895144c124ecd5c09,45
45,Cogs,5c76d20595144c5375687b4e,46
46,Cogs,5c76dd1095144c5375687b51,47
47,Cogs,5d5d4fd16d5f3b23d1bc7905,48
48,Cogs,5d66b9dcee7f2d201c7281cd,49
49,Cogs,5d9b4f591dda2c6225a284aa,50
50,Cogs,5e28b81cee7f2d697e835bcd,51
51,Cogs,5e5ea9cc9c50da1291a6d074,52
52,Cogs,5e7cf838f221c312e698a628,53
53,Cogs,5e9f12f5be37ce3e45b6a77e,54
54,Cogs,5ea07defbe37ce3e45b6a780,55
55,Cogs,5eebc5412455c97a877ef382,56
56,Cogs,5f036ccc2455c947fde9362f,57
57,Cogs,5f10c05cbe37ce238c6cabaf,58
58,Cogs,5f16f512be37ce2b30061e1d,59
59,Cogs,5f16f535be37ce2b30061e24,60
60,Cogs,5f19e054be37ce33f74a166e,61
61,Cogs,5f19e062be37ce33f74a1674,62
62,Cogs,5f208daebe37ce7958c59520,63
63,Cogs,5f208db0be37ce7958c59526,64
64,Cogs,5f358338be37ce443bf9d557,65
65,Cogs,5f35834dbe37ce443bf9d564,66
66,Cogs,5f35a0babe37ce6853cff1fd,67
67,Cogs,5f35a0bcbe37ce6853cff20a,68
68,Cogs,5f38576ebe37ce5178517aca,69
69,Cogs,5f38578fbe37ce5178517ad3,70
70,Cogs,5f3d6f43be37ce4ddbb1bb38,71
71,Cogs,5f3d6f44be37ce4ddbb1bb3a,72
72,Cogs,5f3e9172be37ce5a0e01b952,73
73,Cogs,5f3e9195be37ce5a0e01b95f,74
74,Cogs,5f3ff200be37ce1c81aa1e0a,75
75,Cogs,5f3ff222be37ce1c81aa1e0c,76
76,Cogs,5f403231be37ce5f78d9ed14,77
77,Cogs,5f403232be37ce5f78d9ed1a,78
78,Cogs,5f43faabbe37ce3ef3fd3714,79
79,Cogs,5f43faadbe37ce3ef3fd371a,80
80,Cogs,5f441280be37ce5dbe9b7c7d,81
81,Cogs,5f441281be37ce5dbe9b7c83,82
82,Cogs,5f4802bdbe37ce0c8303373c,83
83,Cogs,5f4802d2be37ce0c83033742,84
84,Cogs,5f493665be37ce52f8314fc9,85
85,Cogs,5f493682be37ce52f8314fcb,86
86,Cogs,5f4936dcbe37ce52f8314fd8,87
87,Cogs,5f4936ddbe37ce52f8314fda,88
88,Cogs,5f493d85be37ce64d0ae36b1,89
89,Cogs,5f493dabbe37ce64d0ae36ba,90
90,Cogs,5f493e72be37ce64d0ae36c0,91
91,Cogs,5f493e72be37ce64d0ae36c2,92
92,Cogs,5f494c5d04db711dd8fe87e2,93
93,Cogs,5f494cf904db711dd8fe87ef,94
94,Cogs,5f4a64e7be37ce17d23b3178,95
95,Cogs,5f4a650bbe37ce17d23b317e,96
96,Cogs,5f4a7a5bbe37ce2d95e65c9f,97
97,Cogs,5f4a7a60be37ce2d95e65cac,98
98,Cogs,5f4bf53dbe37ce0b44915540,99
99,Cogs,5f4bf556be37ce0b44915549,100
100,Cogs,5f4cff1aa475f1050a66b566,101
101,Cogs,5f4cffbaa475f1050a66b573,102
102,Cogs,5f504ac2be37ce0b793c9411,103
103,Cogs,5f504acabe37ce0b793c9417,104
104,Cogs,5f513e9ebe37ce21f1287bff,105
105,Cogs,5f513ea0be37ce21f1287c01,106
106,Cogs,5f58fa84be37ce21f1287c0f,107
107,Cogs,5f5bc4f1be37ce17125ac0e6,108
108,Cogs,5f5bc4f1be37ce17125ac0e8,109
109,Cogs,5f628214be37ce78e6e2efaa,110
110,Cogs,5f628235be37ce78e6e2efb0,111
111,Cogs,5f77274bbe37ce6b592e90b9,112
112,Cogs,5f77274dbe37ce6b592e90bf,113
113,Cogs,5f772951be37ce6b592e90cf,114
114,Cogs,5f772951be37ce6b592e90d1,115
115,Cogs,5f7760f0be37ce1d26d7b7a2,116
116,Cogs,5f7760ffbe37ce1d26d7b7a8,117
117,Cogs,5f7ba644be37ce23081c5289,118
118,Cogs,5f7ba678be37ce23081c5296,119
119,Cogs,5f7ba914be37ce2f290fb24f,120
120,Cogs,5f7ba932be37ce2f290fb251,121
121,Cogs,5f872b7fbe37ce66db5dd975,122
122,Cogs,5f872bd3be37ce66db5dd982,123
123,Cogs,5f9770bfbe37ce03d08a2d83,124
124,Cogs,5f9770c0be37ce03d08a2d89,125
125,Cogs,5f99f71bbe37ce13da9eade6,126
126,Cogs,5f99f720be37ce13da9eadec,127
127,Cogs,5fa1c567be37ce402c4618ef,128
128,Cogs,5fa1c568be37ce402c4618f5,129
129,Cogs,5fa98944be37ce239d1070fd,130
130,Cogs,5fa98944be37ce239d1070ff,131
131,Cogs,5fb2852cbe37ce522e165cae,132
132,Cogs,5fb28549be37ce522e165cb4,133
133,Cogs,5fb6b608be37ce522e165cb9,134
134,Cogs,5fb6d381be37ce522e165cbd,135
135,Cogs,5fc54c0abe37ce1911dbb3b1,136
136,Cogs,5fc54c17be37ce1911dbb3b7,137
137,Cogs,5fcda47cbe37ce688e08b0c2,138
138,Cogs,5fcda494be37ce688e08b0cb,139
139,Cogs,5fcff304be37ce6d53dfc683,140
140,Cogs,5fcff319be37ce6d53dfc690,141
141,Cogs,5fd29590be37ce38bbbefb25,142
142,Cogs,5fd29591be37ce38bbbefb2b,143
143,Cogs,5fd2a0aebe37ce49eb72c0ed,144
144,Cogs,5fd2a0bfbe37ce49eb72c0ef,145
145,Cogs,5fd3acb5be37ce0d9386bb3e,146
146,Cogs,5fd3acb9be37ce0d9386bb4b,147
147,Cogs,5fd3ae1fbe37ce0d9386bb54,148
148,Cogs,5fd3ae20be37ce0d9386bb5a,149
149,Cogs,5fd7f2b3be37ce7339755868,150
150,Cogs,5fd7f2b8be37ce733975586e,151
151,Cogs,5fda3711be37ce09e351596d,152
152,Cogs,5fda3724be37ce09e351596f,153
153,Cogs,5fdce8dabe37ce5fa8ba59be,154
154,Cogs,5fdce8edbe37ce5fa8ba59cb,155
155,Cogs,5fdce9cabe37ce5fa8ba59cd,156
156,Cogs,5fdce9e9be37ce5fa8ba59d6,157
157,Cogs,5ff3842abe37ce2c56dacbab,158
158,Cogs,5ff3842bbe37ce2c56dacbad,159
159,Cogs,5ff73cf9be37ce1e961f3256,160
160,Cogs,5ff73cffbe37ce1e961f325c,161
161,Cogs,5ff74123be37ce1e961f3265,162
162,Cogs,5ff74126be37ce1e961f326e,163
163,Cogs,5ff744ffbe37ce1e961f3274,164
164,Cogs,5ff74500be37ce1e961f3276,165
165,Cogs,5ff75cdebe37ce1e961f328a,166
166,Cogs,5ff75cdebe37ce1e961f328c,167
167,Cogs,5ff768d4be37ce1e961f3299,168
168,Cogs,5ff768e3be37ce1e961f329f,169
169,Cogs,5ff77857be37ce58ce500839,170
170,Cogs,5ff77859be37ce58ce50083f,171
171,Cogs,5ff78070be37ce6a424ca0e5,172
172,Cogs,5ff78071be37ce6a424ca0e7,173
173,Cogs,5ff789c5be37ce786ba0f6a2,174
174,Cogs,5ff789d5be37ce786ba0f6a8,175
175,Cogs,5ff8b5fbbe37ce4a1398660d,176
176,Cogs,5ff8b5febe37ce4a13986613,177
177,Cogs,5ffe2ca0be37ce5e01754c09,178
178,Cogs,5ffe2ce0be37ce5e01754c16,179
179,Cogs,5ffe2df8be37ce5e01754c1f,180
180,Cogs,5ffe2e38be37ce5e01754c21,181
181,Cogs,5ffe336ebe37ce5e01754c2e,182
182,Cogs,5ffe3381be37ce5e01754c34,183
183,Cogs,5ffe347ebe37ce5e01754c3d,184
184,Cogs,5ffe3480be37ce5e01754c43,185
185,Cogs,5ffe35eabe37ce5e01754c45,186
186,Cogs,5ffe35f9be37ce5e01754c4b,187
187,Cogs,5ffe3681be37ce5e01754c54,188
188,Cogs,5ffe3686be37ce5e01754c5d,189
189,Cogs,5ffe3a85be37ce7aab2d4fd4,190
190,Cogs,5ffe3a87be37ce7aab2d4fda,191
191,Cogs,5fff3a7abe37ce2bb793010d,192
192,Cogs,5fff3aa0be37ce2bb7930116,193
193,Cogs,6000a0c6be37ce2bb793011c,194
194,Cogs,6000a0f3be37ce2bb7930129,195
195,Cogs,6000b8c3be37ce321363c6bf,196
196,Cogs,6000b8c4be37ce321363c6c5,197
197,Cogs,60019b82be37ce4f17e558d1,198
198,Cogs,60019b83be37ce4f17e558d7,199
199,Cogs,60074260be37ce360be639f5,200
200,Cogs,60074277be37ce360be639fe,201
201,Cogs,601ac114be37ce2ead437550,202
202,Cogs,601ac142be37ce2ead437559,203
203,Cogs,6026d757be37ce6369301467,204
